question_id,option_text,position
1,ALP,1
1,Ca,2
1,CRP,3
1,Mg,4
1,TP,5
2,K 7.0mmol/L,1
2,Na 130mmol/L,2
2,LD 300U/L,3
2,血小板数 50万/pL,4
2,ヘモグロビン 15.0g/dL,5
3,第1試薬と第2試薬を逆にして測定した。,1
3,管理試料を半分の溶解液量で溶解した。,2
3,標準物質の濃度を2倍にして測定した。,3
3,使用期限が切れた試薬で測定した。,4
3,未熟な技量のスタッフが測定した。,5
4,硝子円柱,1
4,顆粒円柱,2
4,脂肪円柱,3
4,上皮円柱,4
4,赤血球円柱,5
5,蟯 虫,1
5,ズビニ鉤虫,2
5,三日熱マラリア原虫,3
5,ガンビアトリパノソーマ,4
5,エキノコックス〈多包条虫〉,5
6,回虫卵,1
6,鉤虫卵,2
6,条虫卵,3
6,鞭虫卵,4
6,横川吸虫卵,5
7,薬局で個人購入できる。,1
7,疾患の重症度を評価できる。,2
7,分子標的薬の有効性を予測できる。,3
7,ベッドサイドで結果を評価できる。,4
7,医薬品の副作用リスクを評価できる。,5
8,梅 毒,1
8,B型肝炎,2
8,C型肝炎,3
8,帯状疱疹,4
8,HIV感染症,5
9,便,1
9,喀 痰,2
9,髄 液,3
9,自然尿,4
9,鼻咽頭粘液,5
10,尿 酸,1
10,尿素窒素,2
10,アルブミン,3
10,ナトリウム,4
10,クレアチニン,5
11,心室頻拍,1
11,心房細動,2
11,心房粗動,3
11,房室ブロック,4
11,発作性上室頻拍,5
12,Lynch症候群,1
12,家族性大腸腺腫症,2
12,Li-Fraumeni症候群,3
12,von Hippel-Lindau病,4
12,遺伝性乳がん卵巣がん症候群,5
13,腎性貧血,1
13,鉄欠乏性貧血,2
13,巨赤芽球性貧血,3
13,再生不良性貧血,4
13,自己免疫性溶血性貧血,5
14,低リン血症,1
14,低カリウム血症,2
14,低カルシウム血症,3
14,低ナトリウム血症,4
14,低マグネシウム血症,5
15,総コレステロール 220mg/dL以上,1
15,トリグリセライド 150mg/dL以上,2
15,HDLコレステロール 40mg/dL未満,3
15,LDLコレステロール 140mg/dL以上,4
15,Non-HDLコレステロール 170mg/dL以上,5
16,聴力検査,1
16,筋電図検査,2
16,心音図検査,3
16,超音波検査,4
16,熱画像検査,5
17,アースの接続を確認する。,1
17,患者に力を抜いてもらう。,2
17,電動ベッドの電源を抜く。,3
17,電極と誘導コードの接続を確認する。,4
17,記録の間、患者に呼吸を止めてもらう。,5
18,連続性雑音,1
18,収縮後期雑音,2
18,全収縮期雑音,3
18,拡張期逆流性雑音,4
18,収縮期駆出性雑音,5
19,30,1
19,35,2
19,40,3
19,45,4
19,50,5
20,Boyle-Charlesの法則,1
20,Daltonの法則,2
20,Fickの法則,3
20,Henryの法則,4
20,Lambert-Beerの法則,5
21,呼吸数,1
21,酸素摂取量,2
21,肺胞換気量,3
21,分時換気量,4
21,二酸化炭素排出量,5
22,Ⅰa 線維,1
22,骨格筋細胞,2
22,7運動ニューロン,3
22,下位運動ニューロン,4
22,上位運動ニューロン,5
23,時定数は0.1秒が標準である。,1
23,T6は右側頭葉の後方に相当する。,2
23,脳死判定では測定感度は20pV/mmで記録する。,3
23,てんかん発作が起きたときは直ちに記録を中止する。,4
23,サンプリング周波数200Hzで高域は120Hzまで正しく記録できる。,5
24,組織ドプラ法,1
24,カラードプラ法,2
24,パルスドプラ法,3
24,パワードプラ法,4
24,連続波ドプラ法,5
25,正常パターン,1
25,弛緩障害パターン,2
25,偽正常化パターン,3
25,拘束パターン,4
25,判定不可能,5
26,①,1
26,②,2
26,③,3
26,④,4
26,⑤,5
27,腟,1
27,子 宮,2
27,直   腸,3
27,膀 胱,4
27,卵 巣,5
28,外耳道,1
28,鼓 膜,2
28,耳小骨,3
28,内 耳,4
28,蝸牛神経,5
29,鉄欠乏性貧血で高値になる。,1
29,基準範囲は6.2％以下である。,2
29,約2か月間の血糖値の平均を反映する。,3
29,バリンに安定的に糖が結合したものである。,4
29,透析患者の血糖コントロールの指標に適している。,5
30,静脈 ＞ 動脈 ＞ 毛細血管,1
30,静脈 ＞ 毛細血管 ＞ 動脈,2
30,動脈 ＞ 静脈 ＞ 毛細血管,3
30,動脈 ＞ 毛細血管 ＞ 静脈,4
30,毛細血管 ＞ 静脈 ＞ 動脈,5
31,A-Ⅰ　-----　LCATの活性化,1
31,B-100　-----　VLDLの分泌,2
31,B-48　-----　カイロミクロンの分泌,3
31,C-Ⅲ　-----　LPLの活性化,4
31,E　-----　LDL受容体との結合,5
32,Km 値＜＜［S］のとき1次反応に近似する。,1
32,初速度法による［S］測定は0次反応領域で行う。,2
32,Km 値が大きいほど酵素と基質の親和性は大きい。,3
32,Km値は反応速度がVmaxの1/2を示す［S］である。,4
32,終点分析法による［S］測定にはVmaxが大きい酵素を使用する。,5
33,Na＋,1
33,Ca2＋,2
33,Cl－,3
33,HCO3－,4
33,H2PO4－,5
34,妊娠糖尿病ではインスリン抵抗性が低い。,1
34,HbA1cの生成にはアマドリ転移が関与する。,2
34,腎臓の糖排泄閾値は160～180mg/dLである。,3
34,ムタロターゼはグルコースのα型からβ型への変換を行う。,4
34,SGLT2〈Sodium-glucose co-transporter 2〉は近位尿細管に存在する。,5
35,レチノール,1
35,アラキドン酸,2
35,トリグリセライド,3
35,スフィンゴミエリン,4
35,ホスファチジルエタノールアミン,5
36,Bq,1
36,C・kg－1,2
36,eV,3
36,Gy,4
36,Sv,5
37,プロリン,1
37,アルギニン,2
37,ヒスチジン,3
37,メチオニン,4
37,トリプトファン,5
38,0.15,1
38,1.5,2
38,15,3
38,150,4
38,"1,500",5
39,分子量の大きい物質ほど早く飛行する。,1
39,飛行速度は物質の電荷の影響を受けない。,2
39,測定対象物質は大気圧の空気中を飛行する。,3
39,イオン化はレーザーのパルス照射により行う。,4
39,タンデム質量分析装置は2台の質量分析部を並列に接続する。,5
40,胎盤型は耐熱性である。,1
40,骨型は成人よりも小児で高い。,2
40,小腸型は高脂肪食で上昇する。,3
40,高分子肝型は閉塞性黄疸で上昇する。,4
40,免疫グロブリン結合型は電気泳動で最も陽極側に検出される。,5
41,核,1
41,ゴルジ体,2
41,リソソーム,3
41,ミトコンドリア,4
41,ペルオキシソーム,5
42,白血病,1
42,急性肝炎,2
42,心筋梗塞,3
42,多発性筋炎,4
42,溶血性貧血,5
43,葉 酸,1
43,ビタミンB6,2
43,ビタミンB12,3
43,ビタミンC,4
43,ビタミンK,5
44,ALP,1
44,AMY,2
44,AST,3
44,LD,4
44,7-GT,5
45,NILM,1
45,LSIL,2
45,HSIL,3
45,Squamous cell carcinoma,4
45,Adenocarcinoma,5
46,人体の正常な構造を明らかにすること。,1
46,犯罪との関係が疑われる死体を調べること。,2
46,災害で亡くなった人の死因を明らかにすること。,3
46,生前に行われた治療の効果を明らかにすること。,4
46,病気で亡くなった人の死因を明らかにすること。,5
47,ホルマリン固定不足,1
47,パラフィン浸透不足,2
47,薄切の面出し不足,3
47,切片の伸展不足,4
47,染色時の切片剝離,5
48,Nile blue染色,1
48,Berlin blue染色,2
48,Alcian blue染色,3
48,Victoria blue染色,4
48,toluidine blue染色,5
49,カルシトニン,1
49,パラトルモン,2
49,ソマトスタチン,3
49,サイログロブリン,4
49,甲状腺刺激ホルモン,5
50,心 筋,1
50,舌 筋,2
50,横隔膜,3
50,表情筋,4
50,子宮筋層,5
51,喫 煙,1
51,悪性腫瘍,2
51,心房細動,3
51,脂質異常症,4
51,ビタミンK欠乏,5
52,腺 癌,1
52,小細胞癌,2
52,大細胞癌,3
52,扁平上皮癌,4
52,悪性中皮腫,5
53,3％塩酸水溶液,1
53,5％硝酸水溶液,2
53,5％トリクロロ酢酸水溶液,3
53,エチレンジアミン四酢酸〈EDTA〉液,4
53,プランク・リクロ〈Plank-Rychlo〉液,5
54,尿,1
54,胸 水,2
54,膵 液,3
54,髄 液,4
54,胆 汁,5
55,好中球浸潤,1
55,リンパ球浸潤,2
55,血漿成分の滲出,3
55,組織構築の改変,4
55,線維芽細胞の増殖,5
56,大動脈,1
56,肺動脈,2
56,臍帯動脈,3
56,気管支動脈,4
56,総腸骨動脈,5
57,塩 酸,1
57,酢 酸,2
57,硫 酸,3
57,アンモニア,4
57,炭酸リチウム,5
58,肺,1
58,気 管,2
58,胸 腺,3
58,食 道,4
58,心 臓,5
59,Bリンパ球は胸腺で成熟する。,1
59,髄外造血は胎生期に認められる。,2
59,免疫グロブリンは肝臓で合成される。,3
59,エリスロポエチンは骨髄で産生される。,4
59,トロンボポエチンは脾臓で産生される。,5
60,正常赤芽球はPAS染色で陰性となる。,1
60,鉄染色は鉄芽球性貧血の診断に有用である。,2
60,May-Giemsa染色は細胞形態の観察に適する。,3
60,成熟好中球はペルオキシダーゼ染色で陽性となる。,4
60,特異的エステラーゼ染色はフッ化ナトリウムで阻害される。,5
61,関節リウマチ,1
61,真性赤血球増加症,2
61,ネフローゼ症候群,3
61,原発性マクログロブリン血症,4
61,先天性無フィブリノゲン血症,5
62,寒冷凝集素　-----　赤血球数偽低値,1
62,巨大血小板　-----　血小板数偽高値,2
62,破砕赤血球　-----　血小板数偽低値,3
62,有核赤血球　-----　白血球数偽低値,4
62,クリオグロブリン　-----　白血球数偽高値,5
63,大型細胞は引き終わりに分布しやすい。,1
63,塗抹後は速やかに温風で十分に乾燥させる。,2
63,塗抹の厚さは引きガラスの角度に影響される。,3
63,塗抹スピードが速いと塗抹面の長さは短くなる。,4
63,血球形態への影響を避けるため採血後速やかに作製する。,5
64,急性単球性白血病,1
64,急性リンパ性白血病,2
64,成人T細胞白血病,3
64,慢性骨髄単球性白血病,4
64,慢性リンパ性白血病,5
65,核小体を認める。,1
65,N/C比が小さい。,2
65,二次顆粒を認める。,3
65,細胞質は好塩基性が強い。,4
65,核クロマチン構造が粗剛である。,5
66,急性炎症で上昇する。,1
66,血中で最も高濃度な蛋白質である。,2
66,トロンビン時間法により測定される。,3
66,3種類のペプチド鎖が3量体になった構造である。,4
66,プラスミンで分解されるとDダイマーが遊離する。,5
67,ヘムには3価の鉄原子が含まれる。,1
67,鉄は血漿中でトランスフェリンに結合している。,2
67,赤血球におけるATP供給はクエン酸回路による。,3
67,ヘモグロビンの酸素飽和性はpHが上昇すると減少する。,4
67,健常成人のヘモグロビンの約50％をヘモグロビンA2が占める。,5
68,Bacillus cereus,1
68,Escherichia coli,2
68,Mycobacterium tuberculosis,3
68,Staphylococcus aureus,4
68,Vibrio parahaemolyticus,5
69,アミカシン,1
69,イソニアジド,2
69,リファンピシン,3
69,レボフロキサシン,4
69,ストレプトマイシン,5
70,Aeromonas hydrophila,1
70,Campylobacter jejuni,2
70,Helicobacter pylori,3
70,Vibrio parahaemolyticus,4
70,Yersinia enterocolitica,5
71,メチシリン耐性黄色ブドウ球菌〈MRSA〉,1
71,バンコマイシン耐性腸球菌〈VRE〉,2
71,多剤耐性緑膿菌〈MDRP〉,3
71,多剤耐性アシネトバクター〈MDRA〉,4
71,基質拡張型β-ラクタマーゼ〈ESBL〉産生大腸菌,5
72,Chlamydia trachomatis,1
72,Cryptococcus neoformans,2
72,Nocardia asteroides,3
72,Pneumocystis jirovecii,4
72,Treponema pallidum,5
73,Bordet-Gengou培地　-----　選択分離,1
73,Cary-Blair培地　-----　性状確認,2
73,KingA培地　-----　検体輸送,3
73,LIM培地　-----　選択増菌,4
73,Mueller-Hinton寒天培地　-----　薬剤感受性検査,5
74,無菌操作の前,1
74,患者に触れる前,2
74,患者に触れた後,3
74,患者周辺の物品に触れる前,4
74,体液に曝露された可能性のある場合,5
75,Clostridium tetani　-----　神経毒素,1
75,Enterohemorrhagic Escherichia coli〈EHEC〉　-----　ベロ毒素,2
75,Staphylococcus aureus　-----　エンテロトキシン,3
75,Streptococcus pyogenes　------　毒素性ショック症候群毒素,4
75,Vibrio parahaemolyticus　-----　耐熱性溶血毒,5
76,Giménez染色,1
76,Hiss法,2
76,Leifson法,3
76,Neisser法,4
76,Wirtz法,5
77,アンピシリン,1
77,イミペネム,2
77,エリスロマイシン,3
77,ゲンタマイシン,4
77,セファゾリン,5
78,コクサッキーウイルス　-----　尿道炎,1
78,サイトメガロウイルス　-----　手足口病,2
78,デングウイルス　-----　肺 炎,3
78,ヒトパルボウイルス　-----　伝染性紅斑,4
78,ヒトRSウイルス　----　脳 炎,5
79,第9染色体短腕上に存在する。,1
79,ヘルパーT細胞はクラスⅠ分子と反応する。,2
79,CD4分子の結合部位はβ2ドメインに存在する。,3
79,クラスⅠ分子の発現は抗原提示細胞に限局される。,4
79,β2 -ミクログロブリン遺伝子は多型性に富んでいる。,5
80,CD3陽性細胞,1
80,CD4陽性細胞,2
80,CD8陽性細胞,3
80,CD19陽性細胞,4
80,CD56陽性細胞,5
81,HBs抗体,1
81,HCV抗体,2
81,HTLV-1抗体,3
81,マイコプラズマ抗体,4
81,Donath-Landsteiner抗体,5
82,CREST症候群,1
82,Sjögren症候群,2
82,薬剤誘発性ループス,3
82,混合性結合組織病〈MCTD〉,4
82,全身性エリテマトーデス〈SLE〉,5
83,重症筋無力症,1
83,慢性甲状腺炎,2
83,Goodpasture症候群,3
83,原発性胆汁性胆管炎,4
83,特発性血小板減少性紫斑病,5
84,塩 析,1
84,ゲル濾過,2
84,イオン交換クロマトグラフィ,3
84,塩化セシウム密度勾配遠心分離法,4
84,アフィニティカラムクロマトグラフィ,5
85,抗c、抗Jkb、抗Fyb、抗Dib,1
85,抗C、抗Jka、抗Fya、抗Dia,2
85,抗C、抗Jkb、抗Fyb、抗Dia,3
85,抗D、抗Jka、抗Fya、抗Dia,4
85,抗E、抗Jkb、抗Fya、抗Dia,5
86,赤血球製剤　-----　A型RhD陽性,1
86,赤血球製剤　-----　O型RhD陽性,2
86,赤血球製剤　-----　AB型RhD陽性,3
86,血漿製剤　-----　B型RhD陰性,4
86,血漿製剤　-----　O型RhD陰性,5
87,検査室気圧,1
87,検査室室温,2
87,検査室湿度,3
87,恒温槽の温度,4
87,判定用遠心機の回転数,5
88,ABO血液型はLandsteinerの法則に従う。,1
88,ABO遺伝子は第9染色体長腕に存在する。,2
88,新生児や乳児のABO血液型抗原量は少ない。,3
88,抗Aおよび抗B抗体の産生は胎児期に始まる。,4
88,獲得性BはA抗原が後天的に変化したものである。,5
89,インターロイキン2,1
89,インターロイキン4,2
89,インターロイキン10,3
89,インターロイキン12,4
89,インターフェロン7,5
90,米,1
90,卵,2
90,小 麦,3
90,さ ば,4
90,大 豆,5
91,応急入院,1
91,措置入院,2
91,任意入院,3
91,医療保護入院,4
91,緊急措置入院,5
92,医療計画の策定,1
92,乳幼児健康診査,2
92,障害者手帳の交付,3
92,医療機関への立入検査,4
92,食中毒発生時の原因調査,5
93,禁煙治療,1
93,人工透析,2
93,帝王切開,3
93,訪問看護,4
93,予防接種,5
94,ヒ 素,1
94,フッ素,2
94,大腸菌,3
94,アルキル水銀,4
94,シアン化合物,5
95,25,1
95,50,2
95,100,3
95,200,4
95,400,5
96,クラスⅠ機器の追加保護手段は補強絶縁である。,1
96,クラスⅠ機器とはB型装着部を持つ機器のことである。,2
96,クラスⅡ機器には保護接地線が必要である。,3
96,クラスⅡ機器は2Pプラグで使用することができる。,4
96,内部電源機器は外部電源と接続できない。,5
97,CSV,1
97,FLV,2
97,JPEG,3
97,MP3,4
97,TIFF,5
98,DICOM,1
98,HL7,2
98,ICD11,3
98,JLAC10/11,4
98,PACS,5
99,空 気： 350,1
99,脂 肪： 900,2
99,"水： 1,480",3
99,"血 液：1,570",4
99,"頭蓋骨：4,080",5
100,サーミスタ,1
100,ストレインゲージ,2
100,熱電対,3
100,フォトダイオード,4
100,ホール素子,5
101,尿酸,1
101,シスチン,2
101,ビリルビン,3
101,リン酸カルシウム,4
