question_text,year,subject
検査や投薬の種類・量に関わらず、病気の種類と入院日数に応じて医療費が決められる診療報酬計算の方式を指す用語はどれか。,2021(第67回),臨床検査総論
尿試験紙法による検査でビタミンC内服の影響が小さいのはどれか。,2021(第67回),一般・医動物学
尿沈渣中の白血球と上皮細胞との鑑別に用いるのはどれか。,2021(第67回),一般・医動物学
糞便の特徴と疾患の組合せで正しいのはどれか。2つ選べ。,2021(第67回),一般・医動物学
最もサイズが小さいのはどれか。,2021(第67回),一般・医動物学
成人男性がアフリカから帰国後に発熱した。末血厚層塗抹のGiemsa染色標本(別冊No.1)を別に示す。この感染症について正しいのはどれか。,2021(第67回),一般・医動物学
採血中に患者の顔面が蒼白になり、気分不快を訴えた。この採血合併症について誤っているのはどれか。,2021(第67回),臨床検査総論
空気感染予防策を必要とするのはどれか。2つ選べ。,2021(第67回),微生物学
ピンク色泡沫状で漿液性の喀痰が得られた。考えられる疾患はどれか。,2021(第67回),臨床検査総論
黄色のバイオハザードマークが貼付されている容器に廃棄するのはどれか。,2021(第67回),臨床検査総論
一次救命処置に含まれないのはどれか。,2021(第67回),臨床検査総論
ヒトパピローマウイルスによって引き起こされるのはどれか。,2021(第67回),微生物学
間質性肺炎の血清マーカーはどれか。2つ選べ。,2021(第67回),病理学
心不全の重症度評価に用いられるのはどれか。,2021(第67回),臨床化学
慢性閉塞性肺疾患〈COPD〉で増加するのはどれか。,2021(第67回),生理学
成人の心電図で異常値はどれか。,2021(第67回),生理学
心電図(別冊No.2)を別に示す。正しいのはどれか。,2021(第67回),生理学
トレッドミル負荷試験について正しいのはどれか。2つ選べ。,2021(第67回),生理学
傍胸骨長軸のカラードプラ像(別冊No.3)を別に示す。この症例で聴取される可能性が最も高い心雑音はどれか。,2021(第67回),生理学
ボイル・シャルルの法則の記載で正しいのはどれか。ただし、気体の体積、圧力、絶対温度をそれぞれV、P、Tとし、定数をRとする。,2021(第67回),生理学
吸気および呼気ともに最大努力で得られたフローボリューム曲線(別冊No.4)を別に示す。考えられるのはどれか。,2021(第67回),生理学
ガス希釈法による測定が必要な肺気量分画はどれか。2つ選べ。,2021(第67回),生理学
低水準の消毒が適切でないのはどれか。,2021(第67回),生理学
超音波画像のアーチファクトで虚像が出現しないのはどれか。,2021(第67回),生理学
右季肋部縦走査による超音波像(別冊No. 5)を別に示す。所見はどれか。,2021(第67回),生理学
感音性難聴を呈するのはどれか。2つ選べ。,2021(第67回),生理学
反回神経を分岐する脳神経はどれか。,2021(第67回),生理学
中心前回にあるのはどれか。,2021(第67回),生理学
血糖コントロールの指標について正しいのはどれか。,2021(第67回),臨床化学
乳酸について誤っているのはどれか。,2021(第67回),臨床化学
ケトン体はどれか。2つ選べ。,2021(第67回),臨床化学
ビタミン欠乏症と疾患の組合せで誤っているのはどれか。,2021(第67回),臨床化学
ヘキソキナーゼが作用する糖はどれか。2つ選べ。,2021(第67回),臨床化学
糖代謝について正しいのはどれか。2つ選べ。,2021(第67回),臨床化学
無機質と結合蛋白質の組合せで正しいのはどれか。,2021(第67回),臨床化学
生体内で炎症時に減少する蛋白質成分はどれか。,2021(第67回),臨床化学
ビリルビンの極大吸収波長[nm]はどれか。,2021(第67回),臨床化学
細胞内液に含まれるイオン[mEq/L]で最も多いのはどれか。,2021(第67回),臨床化学
リポ蛋白の表面部に存在しているのはどれか。2つ選べ。,2021(第67回),臨床化学
中間比重リポ蛋白〈IDL〉の比重について正しいのはどれか。,2021(第67回),臨床化学
核酸を含まない細胞内小器官はどれか。,2021(第67回),臨床化学
逸脱酵素でないのはどれか。,2021(第67回),臨床化学
ビタミンDの25位を水酸化する臓器はどれか。,2021(第67回),臨床化学
カルシウムイオン50mg/dLは何mEq/Lか。ただし、カルシウム原子量は40とする。,2021(第67回),臨床化学
パラフィン切片の伸展について正しいのはどれか。,2021(第67回),病理学
銀液を使用するのはどれか。2つ選べ。,2021(第67回),病理学
肝臓の特殊染色標本(別冊No.6)を別に示す。染色はどれか。,2021(第67回),病理学
酵素抗体法について正しいのはどれか。,2021(第67回),病理学
H-E染色標本(別冊No.7)を別に示す。この臓器はどれか。,2021(第67回),病理学
圧迫萎縮を示すのはどれか。,2021(第67回),病理学
肝硬変症の合併症として適切でないのはどれか。,2021(第67回),病理学
toluidine blue染色で異染色性を示すのはどれか。,2021(第67回),病理学
肉芽腫を形成するのはどれか。,2021(第67回),病理学
脱灰処理について正しいのはどれか。,2021(第67回),病理学
喀痰細胞診のPapanicolaou染色標本(別冊No.8)を別に示す。出現している細胞はどれか。,2021(第67回),病理学
炎症の四主徴に含まれないのはどれか。,2021(第67回),病理学
我が国において最も頻度の高い悪性リンパ腫はどれか。,2021(第67回),病理学
神経組織の染色に用いないのはどれか。,2021(第67回),病理学
基準範囲に性差を認める血算項目はどれか。2つ選べ。,2021(第67回),血液学
発作性夜間ヘモグロビン尿症〈PNH〉の診断に用いられる抗体はどれか。,2021(第67回),血液学
血漿鉄消失時間の測定結果(別冊No.9)を別に示す。考えられるのはどれか。,2021(第67回),血液学
透過光を用いた血小板凝集能測定の方法について誤っているのはどれか。,2021(第67回),血液学
表面抗原と細胞の組合せで誤っているのはどれか。,2021(第67回),血液学
血球とその形態の特徴との組合せで誤っているのはどれか。,2021(第67回),血液学
自己免疫性溶血性貧血で高値を示すのはどれか。2つ選べ。,2021(第67回),血液学
広範な皮下出血とAPTT延長が認められたのでAPTTの交差混合試験を実施した。結果を表に示す。考えられるのはどれか。,2021(第67回),血液学
末血のWright-Giemsa染色標本(別冊No.10Ａ)とエステラーゼ二重染色標本(別冊No.1Ｂ)を別に示す。最も考えられるのはどれか。,2021(第67回),血液学
原核生物の特徴で正しいのはどれか。,2021(第67回),微生物学
選択物質として胆汁酸塩を含む培地はどれか。2つ選べ。,2021(第67回),微生物学
細胞壁合成阻害薬はどれか。,2021(第67回),微生物学
芽胞を有するのはどれか。,2021(第67回),微生物学
血中濃度モニタリングが必要な抗菌薬はどれか。,2021(第67回),微生物学
消毒用エタノールに抵抗性を示すのはどれか。2つ選べ。,2021(第67回),微生物学
ワクチンが開発されていないウイルスはどれか。,2021(第67回),微生物学
目的菌と染色法の組合せで正しいのはどれか。,2021(第67回),微生物学
多剤耐性結核菌の判定に使用される抗菌薬はどれか。2つ選べ。,2021(第67回),微生物学
腸内細菌科の細菌をTSI培地(左)とSIM培地(右)へ接種し、35℃で好気培養した結果(別冊No.11)を別に示す。SIM培地にはインドール試薬を滴下済みである。考えられる細菌はどれか。,2021(第67回),微生物学
プラスミドについて誤っているのはどれか。,2021(第67回),微生物学
ABO血液型抗原について正しいのはどれか。,2021(第67回),免疫学
ABO血液型検査を行ったところ、オモテ検査B型、ウラ検査O型で判定保留となった。最も考えられるのはどれか。,2021(第67回),免疫学
HEp-2細胞を核材に用いた抗核抗体の蛍光抗体法による染色写真(別冊No.12)を別に示す。最も考えられる疾患はどれか。,2021(第67回),免疫学
ハプテンに対する抗体の作製で誤っているのはどれか。,2021(第67回),免疫学
末血のフローサイトメトリのドットプロット図(別冊No.13)を別に示す。矢印で示すのはどれか。,2021(第67回),免疫学
ABO血液型のオモテ検査で部分凝集を呈する原因はどれか。2つ選べ。,2021(第67回),免疫学
新鮮凍結血漿を輸血する適応となる検査データとして正しいのはどれか。,2021(第67回),免疫学
Donath-Landsteiner抗体の特徴として正しいのはどれか。,2021(第67回),免疫学
遺伝性血管神経性浮腫の原因はどれか。,2021(第67回),免疫学
免疫担当細胞で正しいのはどれか。2つ選べ。,2021(第67回),免疫学
造血幹細胞移植の提供者に行うべき検査はどれか。2つ選べ。,2021(第67回),免疫学
医療計画の5疾病5事業でないのはどれか。,2021(第67回),公衆衛生学
正しい組合せはどれか。,2021(第67回),公衆衛生学
健康日本21(第二次)に含まれないのはどれか。,2021(第67回),公衆衛生学
ダイオキシン類について誤っているのはどれか。,2021(第67回),公衆衛生学
原因物質と職業がんの組合せで誤っているのはどれか。,2021(第67回),公衆衛生学
生体物質の光学的特性について正しいのはどれか。,2021(第67回),医用工学概論
電圧利得20倍の増幅器A1と200倍のA2を直列に接続したときの増幅度として最も近い値[dB]はどれか。,2021(第67回),医用工学概論
測定対象の物理量変化に対応した起電力を利用したセンサはどれか。2つ選べ。,2021(第67回),医用工学概論
病院電気設備の安全基準〈JIS T 1022〉において非接地配線方式を設けなければならない医用室はどれか。,2021(第67回),医用工学概論
コンピュータデータベースの操作言語はどれか。,2021(第67回),医用工学概論
光学顕微鏡の説明で誤っているのはどれか。,2021(第67回),医用工学概論
イムノクロマト法による便潜血検査について正しいのはどれか。,2021(第67回),一般・医動物学
網膜芽細胞腫の原因遺伝子はどれか。,2021(第67回),病理学
細胞周期の段階のうち、G染色法において染色体を観察するのに適しているのはどれか。,2021(第67回),病理学
夕食にしめ鯖を摂取後、深夜に激烈な腹痛を訴えた。上部消化管の内視鏡像(別冊No.1)を別に示す。この寄生虫について正しいのはどれか。,2021(第67回),一般・医動物学
検便で診断できるのはどれか。,2021(第67回),一般・医動物学
漏出性腹水に合致する所見はどれか。,2021(第67回),一般・医動物学
塩基置換により終止コドンが生じる遺伝子変異の種類はどれか。,2021(第67回),病理学
ヒトのテロメアについて誤っているのはどれか。,2021(第67回),病理学
健常成人の脳脊髄液について正しいのはどれか。,2021(第67回),一般・医動物学
x̄ -R管理図法で管理するのはどれか。2つ選べ。,2021(第67回),臨床検査総論
肝硬変の症候に含まれないのはどれか。,2021(第67回),臨床検査総論
M蛋白が検出されるのはどれか。2つ選べ。,2021(第67回),血液学
Down症候群で認められるのはどれか。,2021(第67回),病理学
乳癌の腫瘍マーカーはどれか。,2021(第67回),病理学
血清コリンエステラーゼ活性が低下するのはどれか。,2021(第67回),臨床化学
心電図(別冊No.2)を別に示す。正しいのはどれか。,2021(第67回),生理学
血流依存性血管拡張反応〈FMD〉の測定で誤っているのはどれか。,2021(第67回),生理学
左室流入血流速波形のE/Aを計測するのはどれか。,2021(第67回),生理学
連続波ドプラ法で三尖弁逆流の最大流速が3.0m/sであった。推定される収縮期肺動脈圧[mmHg]はどれか。ただし、右房圧を5mmHgとする。,2021(第67回),生理学
酸素解離曲線のシフトに関与しないのはどれか。,2021(第67回),生理学
安静呼気位から最大吸気位までの肺気量はどれか。,2021(第67回),生理学
フローボリューム曲線(別冊No.3)を別に示す。この症例で低下するのはどれか。,2021(第67回),生理学
単一呼吸法によるクロージングボリューム測定で使用するガスはどれか。,2021(第67回),生理学
右肋骨弓下横走査による超音波像(別冊No.4)を別に示す。矢印が示すのはどれか。,2021(第67回),生理学
前頸部横走査による超音波像(別冊No.5)を別に示す。食道はどれか。,2021(第67回),生理学
脳波で1.5〜2.5Hz鋭徐波複合を認めるのはどれか。,2021(第67回),生理学
運動神経線維はどれか。,2021(第67回),生理学
神経伝導検査で、感覚線維機能のみ評価可能なのはどれか。,2021(第67回),生理学
メタボリックシンドロームの診断基準に含まれるのはどれか。2つ選べ。,2021(第67回),臨床化学
下垂体後葉ホルモンはどれか。2つ選べ。,2021(第67回),臨床化学
心筋梗塞発症時に最も早く上昇するのはどれか。,2021(第67回),臨床化学
Michaelis-Mentenの式について正しいのはどれか。ただし、[S]：基質濃度、v：速度、Vmax：最大反応速度、Km：Michaelis定数とする。,2021(第67回),臨床化学
ホルモンと生理作用の組合せで正しいのはどれか。,2021(第67回),臨床化学
電磁波はどれか。2つ選べ。,2021(第67回),臨床化学
上昇するアイソザイムと疾患の組合せで正しいのはどれか。,2021(第67回),臨床化学
日本臨床化学会〈JSCC〉勧告法で共役酵素を用いないのはどれか。,2021(第67回),臨床化学
ビタミンについて正しいのはどれか。2つ選べ。,2021(第67回),臨床化学
必須アミノ酸でないのはどれか。,2021(第67回),臨床化学
血液中で蛋白質と結合して存在しているのはどれか。,2021(第67回),臨床化学
血清10μLを使用して10分間の酵素反応を行ったところ、10nmolの基質量が変化した。酵素量[U/L]はどれか。,2021(第67回),臨床化学
病原体の構成成分で検査に用いられるのはどれか。2つ選べ。,2021(第67回),臨床化学
尿を検体として測定するのはどれか。,2021(第67回),臨床化学
ケトン基を有するのはどれか。2つ選べ。,2021(第67回),臨床化学
腎糸球体障害の指標となる検査項目はどれか。2つ選べ。,2021(第67回),臨床化学
子宮頸部擦過細胞診のPapanicolaou染色標本(別冊No.6)を別に示す。細胞はどれか。,2021(第67回),病理学
セルブロック法について誤っているのはどれか。,2021(第67回),病理学
電子顕微鏡標本作製についての組合せで正しいのはどれか。,2021(第67回),病理学
病理学的検査において使用される有害物質で、管理濃度が0.1ppmであるのはどれか。,2021(第67回),病理学
H-E染色標本(別冊No.7)を別に示す。炎症の種類はどれか。,2021(第67回),病理学
細胞診検体採取で、主に穿刺吸引法を用いる部位はどれか。,2021(第67回),病理学
H-E染色標本(別冊No.8)を別に示す。臓器はどれか。,2021(第67回),病理学
重層扁平上皮で覆われているのはどれか。2つ選べ。,2021(第67回),病理学
臍帯の血管について正常なのはどれか。,2021(第67回),病理学
パラフィン包埋法の脱水に使用されるのはどれか。,2021(第67回),病理学
酸性色素はどれか。2つ選べ。,2021(第67回),病理学
細胞診検体の種類と塗抹法の組合せで正しいのはどれか。,2021(第67回),病理学
大動脈弓から直接分岐する血管はどれか。2つ選べ。,2021(第67回),病理学
毒物及び劇物取締法で劇物に指定されているのはどれか。2つ選べ。,2021(第67回),臨床検査総論
末梢血のWright-Giemsa染色標本(別冊No.9)を別に示す。考えられるのはどれか。2つ選べ。,2021(第67回),血液学
骨髄異形成症候群について誤っているのはどれか。,2021(第67回),血液学
骨髄穿刺液のWright-Giemsa染色標本(別冊No.10)を別に示す。この症例で認められる所見はどれか。,2021(第67回),血液学
産生にビタミンKを必要としない凝固因子はどれか。,2021(第67回),血液学
末梢血の好酸球減少がみられるのはどれか。,2021(第67回),血液学
T細胞リンパ腫はどれか。,2021(第67回),血液学
網赤血球について正しいのはどれか。,2021(第67回),血液学
巨大血小板がみられるのはどれか。2つ選べ。,2021(第67回),血液学
播種性血管内凝固〈DIC〉の所見で正しいのはどれか。2つ選べ。,2021(第67回),血液学
血液媒介感染を起こすのはどれか。2つ選べ。,2021(第67回),微生物学
血液培養陽性ボトル内容液のGram染色標本(別冊No.11)を別に示す。35℃、5％炭酸ガス培養後のヒツジ血液寒天培地上のコロニーはβ溶血を示し、カタラーゼ試験陰性およびPYR試験陽性であった。 推定されるのはどれか。,2021(第67回),微生物学
検体と検出菌の組合せで汚染菌と解釈されるのはどれか。,2021(第67回),微生物学
多形性を示すGram陰性桿菌はどれか。,2021(第67回),微生物学
121℃、20分間の加熱処理で感染性が失われないのはどれか。,2021(第67回),微生物学
染色法とその対象となる微生物の組合せで正しいのはどれか。2つ選べ。,2021(第67回),微生物学
検体の輸送を目的に使用する培地はどれか。,2021(第67回),微生物学
Escherichia coliを対象に実施した薬剤耐性の確認試験(別冊No.12)を別に示す。検出目的のβ-ラクタマーゼはどれか。,2021(第67回),微生物学
真菌と特徴の組合せで正しいのはどれか。,2021(第67回),微生物学
Guillain-Barré〈ギラン・バレー〉症候群と関連しているのはどれか。,2021(第67回),微生物学
イムノクロマト法による抗原検査が行われているのはどれか。2つ選べ。,2021(第67回),微生物学
体重70kgの成人に赤血球液4単位を輸血した際の予測上昇Hb値に最も近い値[g/dL]はどれか。なお、循環血液量[mL]は体重[kg]×70であり、2単位の赤血球液は60gのHbを含むこととする。,2021(第67回),免疫学
輸血副反応のうち最も遅く発症するのはどれか。,2021(第67回),免疫学
新生児溶血性疾患を引き起こすのはどれか。2つ選べ。,2021(第67回),免疫学
健常人の末梢血リンパ球で最も数が多いのはどれか。,2021(第67回),免疫学
T細胞のみを刺激するマイトジェンはどれか。2つ選べ。,2021(第67回),免疫学
ツベルクリン反応に関与しないのはどれか。,2021(第67回),免疫学
抗体同定検査の抗原表(別冊No.13Ａ)及びカラム凝集法の間接抗グロブリン試験の結果(別冊No.13Ｂ)を別に示す。可能性の高い抗体はどれか。,2021(第67回),免疫学
輸血後の反応について正しいのはどれか。,2021(第67回),免疫学
標識抗原抗体反応の組合せで正しいのはどれか。,2021(第67回),免疫学
検査結果と解釈の組合せで正しいのはどれか。,2021(第67回),免疫学
CRPについて誤っているのはどれか。,2021(第67回),臨床化学
国勢調査で分かるのはどれか。,2021(第67回),公衆衛生学
ある疾患の有病率を調べるために行うのはどれか。,2021(第67回),公衆衛生学
特定健康診査について誤っているのはどれか。,2021(第67回),公衆衛生学
作業環境管理はどれか。2つ選べ。,2021(第67回),公衆衛生学
感染症の予防及び感染症の患者に対する医療に関する法律〈感染症法〉で二類感染症に定められているのはどれか。2つ選べ。,2021(第67回),公衆衛生学
銅製導線が長さ20.0m、断面積0.10mm2のとき、銅の抵抗率を1.68×10^8Ωmとすると、その両端間の抵抗値[Ω]はどれか。,2021(第67回),医用工学概論
商用交流によるマクロショックで最小感知電流[mA]はどれか。,2021(第67回),医用工学概論
コンピュータのハードディスク装置の信頼性向上のために利用されるのはどれか。,2021(第67回),医用工学概論
300種類の検査項目をコード化する場合、最小限必要な記憶容量[bit]はどれか。,2021(第67回),医用工学概論
ネットワーク情報システムに外部からの侵入を許す原因となるのはどれか。,2021(第67回),医用工学概論
電子天秤の設置場所として適切なのはどれか。,2021(第67回),医用工学概論